Número;Solicitante;Estado;Prioridad;Asignado a;Abierto;Actualizado;Resuelto;Tiempo de trabajo;Horas snow;Horas Real;Horas Trabajo;Mes;Año;Actualizado definitivo;Cerrado;Abierto definitivo;Cerrado definitivo;Resuelto definitivo;Mes definitivo desde Cerrado definitivo
"INC1805869";"Solicitante 32";"Cancelado";"2 - Alta";"Asignado 2";"17/08/2023 10:01";"17/08/2023 10:03";"";0;0;;0;"ago";2023;2023-08-17 10:03:00,000;"17/08/2023 10:03";2023-08-17 10:01:00,000;2023-08-17 10:03:00,000;;"agosto"
"INC1837754";"Solicitante 36";"Cancelado";"5 - Muy Baja";"Asignado 3";"22/09/2023 11:12";"02/10/2023 18:32";"";5400;1,5;;1,5;"oct";2023;2023-10-02 18:32:00,000;"02/10/2023 18:32";2023-09-22 11:12:00,000;2023-10-02 18:32:00,000;;"octubre"
"INC1842465";"Solicitante 39";"Cancelado";"4 - Baja";"Asignado 4";"28/09/2023 10:15";"10/10/2023 14:59";"";9000;2,5;;2,5;"oct";2023;2023-10-10 14:59:00,000;"10/10/2023 14:59";2023-09-28 10:15:00,000;2023-10-10 14:59:00,000;;"octubre"
"INC1845806";"Solicitante 11";"Cancelado";"2 - Alta";"Asignado 1";"02/10/2023 12:23";"02/10/2023 13:06";"";0;0;;0;"oct";2023;2023-10-02 13:06:00,000;"02/10/2023 13:06";2023-10-02 12:23:00,000;2023-10-02 13:06:00,000;;"octubre"
"INC1850663";"Solicitante 6";"Cancelado";"2 - Alta";"Asignado 1";"06/10/2023 8:13";"06/10/2023 11:40";"";0;0;;0;"oct";2023;2023-10-06 11:40:00,000;"06/10/2023 11:40";2023-10-06 08:13:00,000;2023-10-06 11:40:00,000;;"octubre"
"INC1858001";"Solicitante 27";"Cancelado";"3 - Moderada";"Asignado 3";"17/10/2023 17:08";"03/11/2023 9:45";"";28800;8;;8;"nov";2023;2023-11-03 09:45:00,000;"03/11/2023 9:45";2023-10-17 17:08:00,000;2023-11-03 09:45:00,000;;"noviembre"
"INC1859931";"Solicitante 21";"Cancelado";"2 - Alta";"Asignado 1";"19/10/2023 15:20";"06/11/2023 11:43";"";0;0;;0;"No cerrada";2023;2023-11-06 11:43:00,000;"06/11/2023 11:43";2023-10-19 15:20:00,000;2023-11-06 11:43:00,000;;"noviembre"
"INC1869955";"Solicitante 32";"Cancelado";"4 - Baja";"Asignado 5";"31/10/2023 9:28";"06/11/2023 10:29";"";0;0;;0;"nov";2023;2023-11-06 10:29:00,000;"06/11/2023 10:29";2023-10-31 09:28:00,000;2023-11-06 10:29:00,000;;"noviembre"
"INC1880255";"Solicitante 21";"Cancelado";"4 - Baja";"Asignado 4";"13/11/2023 8:20";"20/11/2023 18:04";"";28800;8;;8;"nov";2023;2023-11-20 18:04:00,000;"20/11/2023 18:04";2023-11-13 08:20:00,000;2023-11-20 18:04:00,000;;"noviembre"
"INC1883187";"Solicitante 33";"Cancelado";"4 - Baja";"Asignado 5";"16/11/2023 9:11";"17/11/2023 14:06";"";0;0;;0;"ene";2024;2023-11-17 14:06:00,000;"17/11/2023 14:06";2023-11-16 09:11:00,000;2023-11-17 14:06:00,000;;"noviembre"
"INC1885494";"Solicitante 13";"Cancelado";"3 - Moderada";"Asignado 5";"20/11/2023 9:05";"20/11/2023 9:26";"";0;0;;0;"nov";2023;2023-11-20 09:26:00,000;"20/11/2023 9:26";2023-11-20 09:05:00,000;2023-11-20 09:26:00,000;;"noviembre"
"INC1885496";"Solicitante 38";"Cancelado";"2 - Alta";"Asignado 1";"20/11/2023 9:14";"20/11/2023 9:22";"";0;0;;0;"nov";2023;2023-11-20 09:22:00,000;"20/11/2023 9:22";2023-11-20 09:14:00,000;2023-11-20 09:22:00,000;;"noviembre"
"INC1885978";"Solicitante 13";"Cancelado";"3 - Moderada";"Asignado 2";"20/11/2023 16:03";"30/11/2023 13:58";"";21600;6;;6;"nov";2023;2023-11-30 13:58:00,000;"30/11/2023 13:58";2023-11-20 16:03:00,000;2023-11-30 13:58:00,000;;"noviembre"
"INC1888599";"Solicitante 4";"Cancelado";"3 - Moderada";"Asignado 4";"23/11/2023 8:50";"23/11/2023 9:19";"";0;0;;0;"nov";2023;2023-11-23 09:19:00,000;"23/11/2023 9:19";2023-11-23 08:50:00,000;2023-11-23 09:19:00,000;;"noviembre"
"INC1894730";"Solicitante 16";"Cancelado";"3 - Moderada";"Asignado 3";"30/11/2023 15:13";"15/12/2023 15:44";"";14400;4;;4;"dic";2023;2023-12-15 15:44:00,000;"15/12/2023 15:44";2023-11-30 15:13:00,000;2023-12-15 15:44:00,000;;"diciembre"
"INC1912483";"Solicitante 39";"Cancelado";"4 - Baja";"Asignado 1";"21/12/2023 10:30";"21/12/2023 11:16";"";0;0;;0;"dic";2023;2023-12-21 11:16:00,000;"21/12/2023 11:16";2023-12-21 10:30:00,000;2023-12-21 11:16:00,000;;"diciembre"
"INC1923613";"Solicitante 26";"Cancelado";"3 - Moderada";"Asignado 5";"12/01/2024 10:49";"16/01/2024 10:18";"";5400;1,5;;1,5;"ene";2024;2024-01-16 10:18:00,000;"16/01/2024 10:18";2024-01-12 10:49:00,000;2024-01-16 10:18:00,000;;"enero"
"INC1923620";"Solicitante 36";"Cancelado";"3 - Moderada";"Asignado 5";"12/01/2024 10:54";"29/01/2024 14:23";"";14400;4;;4;"ene";2024;2024-01-29 14:23:00,000;"29/01/2024 14:23";2024-01-12 10:54:00,000;2024-01-29 14:23:00,000;;"enero"
"INC1930678";"Solicitante 38";"Cancelado";"4 - Baja";"Asignado 2";"23/01/2024 21:57";"23/05/2024 13:36";"";7512;2,09;;2,09;"may";2024;2024-05-23 13:36:00,000;"23/05/2024 13:36";2024-01-23 21:57:00,000;2024-05-23 13:36:00,000;;"mayo"
"INC1931753";"Solicitante 31";"Cancelado";"4 - Baja";"Asignado 2";"24/01/2024 16:29";"20/03/2024 10:01";"";45900;12,75;;12,75;"mar";2024;2024-03-20 10:01:00,000;"20/03/2024 10:01";2024-01-24 16:29:00,000;2024-03-20 10:01:00,000;;"marzo"
"INC1932772";"Solicitante 22";"Cancelado";"5 - Muy Baja";"Asignado 5";"25/01/2024 22:39";"29/01/2024 17:10";"";600;0,17;;0,17;"ene";2024;2024-01-29 17:10:00,000;"29/01/2024 17:10";2024-01-25 22:39:00,000;2024-01-29 17:10:00,000;;"enero"
"INC1933276";"Solicitante 25";"Cancelado";"5 - Muy Baja";"Asignado 1";"26/01/2024 20:15";"29/01/2024 17:26";"";600;0,17;;0,17;"ene";2024;2024-01-29 17:26:00,000;"29/01/2024 17:26";2024-01-26 20:15:00,000;2024-01-29 17:26:00,000;;"enero"
"INC1934924";"Solicitante 28";"Cancelado";"3 - Moderada";"Asignado 2";"30/01/2024 8:22";"21/03/2024 10:33";"";10800;3;;3;"mar";2024;2024-03-21 10:33:00,000;"21/03/2024 10:33";2024-01-30 08:22:00,000;2024-03-21 10:33:00,000;;"marzo"
"INC1935233";"Solicitante 17";"Cancelado";"4 - Baja";"Asignado 2";"30/01/2024 12:31";"01/02/2024 9:51";"";900;0,25;;0,25;"feb";2024;2024-02-01 09:51:00,000;"01/02/2024 9:51";2024-01-30 12:31:00,000;2024-02-01 09:51:00,000;;"febrero"
"INC1954757";"Solicitante 1";"Cancelado";"3 - Moderada";"Asignado 5";"26/02/2024 16:35";"27/02/2024 17:39";"";14400;4;;4;"feb";2024;2024-02-27 17:39:00,000;"27/02/2024 17:39";2024-02-26 16:35:00,000;2024-02-27 17:39:00,000;;"febrero"
"INC1959893";"Solicitante 6";"Cancelado";"4 - Baja";"Asignado 4";"04/03/2024 12:09";"13/03/2024 13:08";"";10800;3;;3;"mar";2024;2024-03-13 13:08:00,000;"13/03/2024 13:08";2024-03-04 12:09:00,000;2024-03-13 13:08:00,000;;"marzo"
